score,job_title,company,location,visa_status,posted,apply_link,rejection_reason
112,AI Engineer,TEKsystems,"San Diego, CA",Unknown,15 hours ago,https://www.linkedin.com/jobs/view/ai-engineer-at-teksystems-4388709760?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
112,"ML Engineer, GO-AI Technology & Development Team",Amazon.com Services LLC,"Reading, MA",Unknown,18 hours ago,https://www.indeed.com/viewjob?jk=f15c763dbdfb7bf7&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
112,Machine Learning Engineer in NLP (Contract) - Remote,Cloudacio,"New York, NY",Unknown,22 hours ago,https://cloudacio.freshteam.com/jobs/M3OeGezGiaI-/machine-learning-engineer-in-nlp-contract-remote?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
112,"Applied Scientist, Safety ML","Twitch Interactive, Inc. - D48","Irvine, CA",Unknown,18 hours ago,https://www.indeed.com/viewjob?jk=917980cb979f3630&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
112,Research Intern - AI Evaluation and Alignment - Full-time,Microsoft Corporation,"Redmond, WA",Unknown,13 hours ago,https://www.snagajob.com/jobs/1217207573?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
98,Data Scientist - Utilization Management,CVS Health,Colorado,Unknown,21 hours ago,https://www.simplyhired.com/job/_sglmvSJ_VxVScjavjtZb3pE8T7i5N4WY9dWOLk6cJYX8ipqw9Sukg?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
98,"Software Engineer, Enterprise AI",Scale AI,"New York, NY (+1 other)",Unknown,22 hours ago,https://jobs.accel.com/companies/scale-ai/jobs/71535005-software-engineer-enterprise-ai?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
84,Summer Internship – Research Department Machine Learning,MNC JOBS INFO,Anywhere,Unknown,2 hours ago,https://theelitejob.com/job/17321/summer-internship-%E2%80%93-research-department-machine-learning?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
84,Experienced Computer Vision Engineer for Biometric Measurement Project,Upwork,Anywhere,Unknown,24 hours ago,https://www.upwork.com/freelance-jobs/apply/Experienced-Computer-Vision-Engineer-for-Biometric-Measurement-Project_~022035182183000460196/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
84,AI Scientist Intern,Wyze,"Kirkland, WA",Unknown,16 hours ago,https://echojobs.io/job/wyze-ai-scientist-internship-mgn3i?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
70,"Software Development Engineer, Measurement, Ad Tech, and Data Science",Amazon.com Services LLC,"Boulder, CO",Unknown,18 hours ago,https://www.indeed.com/viewjob?jk=690a29ee2532cc9b&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
70,Software Engineer Bigquery Ai Ml (Remote),Google,United States,Unknown,16 hours ago,https://pangian.com/remote/job/software-engineer-bigquery-ai-ml-remote?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
70,"Applied Scientist, Workplace Health & Safety",Amazon,"Nashville, TN",Unknown,11 hours ago,https://www.linkedin.com/jobs/view/applied-scientist-workplace-health-safety-at-amazon-4370112624?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
70,Computer Vision Engineer - Robotics Start Up,Propel,"Pasadena, CA",Unknown,18 hours ago,https://www.linkedin.com/jobs/view/computer-vision-engineer-robotics-start-up-at-propel-4388708468?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
56,Machine Learning Engineer Jobs,"Synthbee, Inc.","Arlington, VA (+1 other)",Unknown,12 hours ago,https://www.clearancejobs.com/jobs/8813955/machine-learning-engineer?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
56,Flask And Data Engineer,Pradeep Tech Services,"Kansas City, MO",Unknown,19 hours ago,https://www.linkedin.com/jobs/view/flask-and-data-engineer-at-pradeep-tech-services-4386151356?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
56,ML Engineer/ II - Camera Models,Torc Robotics,Anywhere,Unknown,20 hours ago,https://grabjobs.co/us/job/full-time/others/remote-ml-engineer-ii-camera-models-155581643?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
56,"Applied Scientist, Last Mile Science",Amazon.com Services LLC,"Austin, TX",Unknown,18 hours ago,https://www.indeed.com/viewjob?jk=73fc45968df83bf2&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
56,Computer vision engineer,EYES ON,"Turin, GA",Unknown,2 hours ago,https://www.recruit.net/job/computer-vision-engineer-jobs/E40E5752AA1CDACF?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
42,Python / FastAPI Backend Developer — AI Intelligence Platform (Fixed Price · 65 Days),Upwork,Anywhere,Unknown,10 hours ago,https://www.upwork.com/freelance-jobs/apply/Python-FastAPI-Backend-Developer-Intelligence-Platform-Fixed-Price-Days_~022035380048717089386/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
42,"Technical Lead, Machine Learning",A1,"Palo Alto, CA",Unknown,21 hours ago,https://www.linkedin.com/jobs/view/technical-lead-machine-learning-at-a1-4388257636?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
42,Remote Real World Data Analyst,Jobgether,Anywhere,Unknown,24 hours ago,https://www.adzuna.com/details/5673929833?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
42,Python Developer,Brooksource,"Royal Oak, MI",Unknown,16 hours ago,https://jobs.brooksource.com/jobs/job/a1wcv000000gigveag-python-developer-royal-oak-michigan/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
42,Applied Artificial Intelligence Scientist,Codified,"Seattle, WA",Unknown,15 hours ago,https://echojobs.io/job/codified-applied-ai-scientst-xebjs?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
42,Deep Learning Compiler Engineer - Full-time,"quadric, Inc","Burlingame, CA",Unknown,7 hours ago,https://www.snagajob.com/jobs/1070530021?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
42,Claris - Backend AI Engineer In Test - Full-time,Apple,"Sunnyvale, CA",Unknown,18 hours ago,https://www.snagajob.com/jobs/1182122661?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
28,ML/CV Engineer — Early-Stage Startup with Strong Product-Market Fit,Upwork,Anywhere,Unknown,10 hours ago,https://www.upwork.com/freelance-jobs/apply/Engineer-Early-Stage-Startup-with-Strong-Product-Market-Fit_~022035388027520568228/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
28,Analytics Engineer - Seattle/ WA,Otter,"Seattle, WA",Unknown,20 hours ago,https://grabjobs.co/us/job/full-time/others/analytics-engineer-seattle-wa-155580817?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,PASSED
28,Computer Vision Algorithm Engineer | Upto $70/hr Hourly,Mercor,"San Francisco, CA",Unknown,17 hours ago,"https://www.ziprecruiter.com/c/Mercor/Job/Computer-Vision-Algorithm-Engineer-%7C-Upto-$70-hr-Hourly/-in-San-Francisco,CA?jid=de6d7fa7c826af6e&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",PASSED
28,Computer Vision Software Engineer,Mercor,"San Francisco, CA",Unknown,17 hours ago,"https://www.ziprecruiter.com/c/Mercor/Job/Computer-Vision-Software-Engineer/-in-San-Francisco,CA?jid=c0cd14b5ac6762fc&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic",PASSED
0,Senior Python/AI Developer for Multimodal Trading Assistant,Upwork,Anywhere,Not Evaluated,5 hours ago,https://www.upwork.com/freelance-jobs/apply/Senior-Python-Developer-for-Multimodal-Trading-Assistant_~022035467973202955172/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'senior python/ai developer for multimodal trading assistant'
0,Senior Python Developer with AI Tools Experience,Upwork,Anywhere,Not Evaluated,22 hours ago,https://www.upwork.com/freelance-jobs/apply/Senior-Python-Developer-with-Tools-Experience_~022035204608740182948/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Senior title: 'senior python developer with ai tools experience'
0,"AI, Automation, and Python expert needed.",Upwork,Anywhere,Not Evaluated,23 hours ago,https://www.upwork.com/freelance-jobs/apply/Automation-and-Python-expert-needed_~022035183687253618930/?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,SKIPPED: Low skill match (1)
0,Machine Learning (ML) Engineer with active Top Secret or DHS clearance,InDev,"Ashburn, VA",Not Evaluated,7 hours ago,https://www.linkedin.com/jobs/view/machine-learning-ml-engineer-with-active-top-secret-or-dhs-clearance-at-indev-4388745537?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Over-experience: matched '\b([3-9]|\d{2,})\+\s*years?\s*(of\s*)?(experience|exp)\b'"
0,"Sr. SoC Power Engineer, Annapurna Labs - Cloud Scale Machine Learning",Amazon.com Services LLC,"Austin, TX",Not Evaluated,18 hours ago,https://www.indeed.com/viewjob?jk=d180edc0ff1ffab9&utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,"REJECTED: Senior title: 'sr. soc power engineer, annapurna labs - cloud scale machine learning'"
0,AI/ML Engineer - Fulltime,Jobs via Dice,"Lebanon, NJ",Not Evaluated,19 hours ago,https://www.linkedin.com/jobs/view/ai-ml-engineer-fulltime-at-jobs-via-dice-4385797678?utm_campaign=google_jobs_apply&utm_source=google_jobs_apply&utm_medium=organic,REJECTED: Blocked company: 'jobs via dice'
